Make,Model,Year,PRA No.,,Issue,Description
Audi,A3 (8P),2005,2018/16949,,AirBag,
Audi,A3 (8P),2006,2018/16949,,AirBag,
Audi,A3 (8P),2007,2018/16949,,AirBag,
Audi,A3 (8P),2008,2018/16949,,AirBag,
Audi,A3 (8P),2009,2018/16949,,AirBag,
Audi,A3 (8P),2010,2018/16949,,AirBag,
Audi,A3 (8P),2011,2018/16949,,AirBag,
Audi,A3 (8P),2012,2018/16949,,AirBag,
Audi,A3 (8P),2013,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2005,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2006,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2007,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2008,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2009,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2010,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2011,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2012,2018/16949,,AirBag,
Audi,A4 Cabriolet (8H),2013,2018/16949,,AirBag,
Audi,A5 (8T),2005,2018/16949,,AirBag,
Audi,A5 (8T),2006,2018/16949,,AirBag,
Audi,A5 (8T),2007,2018/16949,,AirBag,
Audi,A5 (8T),2008,2018/16949,,AirBag,
Audi,A5 (8T),2009,2018/16949,,AirBag,
Audi,A5 (8T),2010,2018/16949,,AirBag,
Audi,A5 (8T),2011,2018/16949,,AirBag,
Audi,A5 (8T),2012,2018/16949,,AirBag,
Audi,A5 (8T),2013,2018/16949,,AirBag,
Audi,A5 Cabriolet (8F),2005,2018/16949,,AirBag,
Audi,A5 Cabriolet (8F),2006,2018/16949,,AirBag,
Audi,A5 Cabriolet (8F),2007,2018/16949,,AirBag,
Audi,A5 Cabriolet (8F),2008,2018/16949,,AirBag,
Audi,A5 Cabriolet (8F),2009,2018/16949,,AirBag,
Audi,A5 Cabriolet (8F),2010,2018/16949,,AirBag,
Audi,A5 Cabriolet (8F),2011,2018/16949,,AirBag,
Audi,A5 Cabriolet (8F),2012,2018/16949,,AirBag,
Audi ,A5 Cabriolet (8F),2013,2018/16949,,AirBag,
Audi ,Q5 (8R),2005,2018/16949,,AirBag,
Audi,Q5 (8R),2006,2018/16949,,AirBag,
Audi ,Q5 (8R),2007,2018/16949,,AirBag,
Audi ,Q5 (8R),2008,2018/16949,,AirBag,
Audi ,Q5 (8R),2009,2018/16949,,AirBag,
Audi ,Q5 (8R),2010,2018/16949,,AirBag,
Audi ,Q5 (8R),2011,2018/16949,,AirBag,
Audi ,Q5 (8R),2012,2018/16949,,AirBag,
Audi ,Q5 (8R),2013,2018/16949,,AirBag,
Audi,TT (FV),2014,2018/17035,,AirBag,
Audi,TT (FV),2015,2018/17035,,AirBag,
Audi,TT (FV),2016,2018/17035,,AirBag,
Audi,TT (FV),2017,2018/17035,,AirBag,
Audi,R8 (4S),2014,2018/17035,,AirBag,
Audi,R8 (4S),2015,2018/17035,,AirBag,
Audi,R8 (4S),2016,2018/17035,,AirBag,
Audi,R8 (4S),2017,2018/17035,,AirBag,
Audi ,A4 (8E),2005,2018/17210,,AirBag,
Audi,A4 (8E),2006,2018/17210,,AirBag,
Audi,A4 (8E),2007,2018/17210,,AirBag,
Audi,A4 (8E),2008,2018/17210,,AirBag,
Audi,A4 (8E),2009,2018/17210,,AirBag,
Audi,A4 (8E),2010,2018/17210,,AirBag,
Audi ,A4 (8E),2011,2018/17210,,AirBag,
Audi,A6 (4F),2005,2018/17210,,AirBag,
Audi,A6 (4F),2006,2018/17210,,AirBag,
Audi,A6 (4F),2007,2018/17210,,AirBag,
Audi,A6 (4F),2008,2018/17210,,AirBag,
Audi,A6 (4F),2009,2018/17210,,AirBag,
Audi,A6 (4F),2010,2018/17210,,AirBag,
Audi,A6 (4F),2011,2018/17210,,AirBag,
BMW,3 Series E46,1999,"2013/13575, 2019/17279",,AirBag,
BMW,3 Series E46,2000,"2013/13575, 2017/15881, 2019/17279",,AirBag,
BMW,3 Series E46,2001,"2013/13575, 2016/15581, 2017/15881, 2019/17279",,AirBag,
BMW,3 Series E46,2002,"2013/13575, 2016/15581, 2017/15881, 2019/17279",,AirBag,
BMW,3 Series E46,2003,"2013/13575, 2016/15581, 2017/15881, 2019/17279",,AirBag,
BMW,3 Series E46,2004,"2013/13575, 2016/15581, 2017/15881, 2019/17279",,AirBag,
BMW,3 Series E46,2005,"2013/13575, 2016/15581, 2019/17279",,AirBag,
BMW,3 Series E46,2006,"2013/13575, 2016/15581, 2019/17279",,AirBag,
BMW,5 Series E39,2000,"2017/15881, 2019/17335",,AirBag,
BMW,5 Series E39,2001,"2016/15581, 2017/15881, 2019/17335",,AirBag,
BMW,5 Series E39,2002,"2016/15581, 2017/15881, 2019/17335",,AirBag,
BMW,5 Series E39,2003,"2016/15581, 2017/15881, 2019/17335",,AirBag,
BMW,5 Series E39,2004,"2016/15581, 2017/15881",,AirBag,
BMW,5 Series E39,2005,2016/15581,,AirBag,
BMW,5 Series E39,2006,2016/15581,,AirBag,
BMW,X5 E53,2000,"2017/15881, 2019/17335",,AirBag,
